;AAPL;AMZN;GOOGL
01/12/2020;119.71356964111328;161.00399780273438;89.23284149169922
02/12/2020;120.06477355957031;160.17649841308594;90.70450592041016
03/12/2020;119.92819213867188;159.3365020751953;90.5489501953125
04/12/2020;119.25509643554688;158.12899780273438;90.64437866210938
07/12/2020;120.71835327148438;157.89999389648438;90.30989074707031
08/12/2020;121.3329086303711;158.864501953125;90.02658081054688
09/12/2020;118.79660034179688;155.2100067138672;88.36305236816406
10/12/2020;120.2208251953125;155.07449340820312;87.85559844970703
11/12/2020;119.41117858886719;155.8209991455078;88.2109603881836
14/12/2020;118.79660034179688;157.84849548339844;87.09068298339844
15/12/2020;124.74714660644531;158.25599670410156;87.529052734375
16/12/2020;124.67888641357422;162.04800415039062;87.33572387695312
17/12/2020;125.54708099365234;161.8040008544922;86.50668334960938
18/12/2020;123.55706024169922;160.08250427246094;85.79644775390625
21/12/2020;125.0886001586914;160.3090057373047;86.2109603881836
22/12/2020;128.64918518066406;160.3260040283203;85.49824523925781
23/12/2020;127.75173950195312;159.2635040283203;85.89635467529297
24/12/2020;128.7369384765625;158.63450622558594;86.19107818603516
28/12/2020;133.34133911132812;164.197998046875;88.1692123413086
29/12/2020;131.56591796875;166.10000610351562;87.36404418945312
30/12/2020;130.44410705566406;164.29249572753906;86.29496002197266
31/12/2020;129.43936157226562;162.84649658203125;87.10958099365234
04/01/2021;126.23970031738281;159.3314971923828;85.79197692871094
05/01/2021;127.80046844482422;160.92550659179688;86.48382568359375
06/01/2021;123.49850463867188;156.91900634765625;85.63044738769531
07/01/2021;127.71266174316406;158.10800170898438;88.18810272216797
08/01/2021;128.81504821777344;159.13499450683594;89.35560607910156
11/01/2021;125.82022094726562;155.7104949951172;87.29097747802734
12/01/2021;125.64464569091797;156.04150390625;86.35360717773438
13/01/2021;127.68344116210938;158.29449462890625;86.84168243408203
14/01/2021;125.751953125;156.37350463867188;86.03004455566406
15/01/2021;124.02530670166016;155.21249389648438;85.86602783203125
19/01/2021;124.69839477539062;156.03799438476562;88.69158935546875
20/01/2021;128.79551696777344;163.16900634765625;93.44308471679688
21/01/2021;133.51693725585938;165.34950256347656;93.64588165283203
22/01/2021;135.6630401611328;164.6114959716797;94.06385803222656
25/01/2021;139.418701171875;164.6999969482422;94.14934539794922
26/01/2021;139.65286254882812;166.30650329589844;94.82878112792969
27/01/2021;138.57977294921875;161.62899780273438;90.4048080444336
